District,District_Code,Mandal,Mandal_Code,Village,Village_Code
MEDCHAL-MALKAJGIRI,15_2,ALWAL,01,DAMMAIGUDA,1510002
MEDCHAL-MALKAJGIRI,15_2,ALWAL,01,FARZANDGUDA,1510005
MEDCHAL-MALKAJGIRI,15_2,ALWAL,01,KOWKUR,1510008
MEDCHAL-MALKAJGIRI,15_2,ALWAL,01,LOTHKUNTA,1510001
MEDCHAL-MALKAJGIRI,15_2,ALWAL,01,MACHA BOLARAM,1510004
MEDCHAL-MALKAJGIRI,15_2,ALWAL,01,MAHADEVPUR,1510009
MEDCHAL-MALKAJGIRI,15_2,ALWAL,01,TURKAPALLE,1510007
MEDCHAL-MALKAJGIRI,15_2,ALWAL,01,YAPRAL,1510010
MEDCHAL-MALKAJGIRI,15_2,BACHUPALLY,02,BACHPALLE,1507010
MEDCHAL-MALKAJGIRI,15_2,BACHUPALLY,02,NIZAMPET,1507011
MEDCHAL-MALKAJGIRI,15_2,BALANAGAR,03,BALANAGAR,1506009
MEDCHAL-MALKAJGIRI,15_2,BALANAGAR,03,BEGUMPET PAIGAH,1506011
MEDCHAL-MALKAJGIRI,15_2,BALANAGAR,03,BOBBUGUDA,1506006
MEDCHAL-MALKAJGIRI,15_2,BALANAGAR,03,BOWENPALLE,1506013
MEDCHAL-MALKAJGIRI,15_2,BALANAGAR,03,FATEHNAGAR,1506010
MEDCHAL-MALKAJGIRI,15_2,BALANAGAR,03,FEROZGUDA,1506012
MEDCHAL-MALKAJGIRI,15_2,BALANAGAR,03,HASHMATHPET,1506014
MEDCHAL-MALKAJGIRI,15_2,BALANAGAR,03,JINKALWADA,1506008
MEDCHAL-MALKAJGIRI,15_2,DUNDIGAL GANDIMAISAMMA,04,BAHADURPALLE,1507005
MEDCHAL-MALKAJGIRI,15_2,DUNDIGAL GANDIMAISAMMA,04,BOWRAMPET,1507007
MEDCHAL-MALKAJGIRI,15_2,DUNDIGAL GANDIMAISAMMA,04,DOMMARA POCHAMPALLE,1507004
MEDCHAL-MALKAJGIRI,15_2,DUNDIGAL GANDIMAISAMMA,04,DULAPALLE,1507016
MEDCHAL-MALKAJGIRI,15_2,DUNDIGAL GANDIMAISAMMA,04,DUNDIGAL,1507003
MEDCHAL-MALKAJGIRI,15_2,DUNDIGAL GANDIMAISAMMA,04,GAGILAPUR,1507001
MEDCHAL-MALKAJGIRI,15_2,DUNDIGAL GANDIMAISAMMA,04,KOMPALLE,1507017
MEDCHAL-MALKAJGIRI,15_2,DUNDIGAL GANDIMAISAMMA,04,MALLAMPET,1507009
MEDCHAL-MALKAJGIRI,15_2,DUNDIGAL GANDIMAISAMMA,04,NAGLUR,1507002
MEDCHAL-MALKAJGIRI,15_2,DUNDIGAL GANDIMAISAMMA,04,SAMBHUPUR,1507008
MEDCHAL-MALKAJGIRI,15_2,GHATKESAR,05,ANKUSHAPUR,1512010
MEDCHAL-MALKAJGIRI,15_2,GHATKESAR,05,ANNOJIGUDA,1512012
MEDCHAL-MALKAJGIRI,15_2,GHATKESAR,05,AUSHAPUR,1512009
MEDCHAL-MALKAJGIRI,15_2,GHATKESAR,05,BADESAHEBGUDA,1512019
MEDCHAL-MALKAJGIRI,15_2,GHATKESAR,05,EDULABAD,1512020
MEDCHAL-MALKAJGIRI,15_2,GHATKESAR,05,GHATKESAR (P),1512011
MEDCHAL-MALKAJGIRI,15_2,GHATKESAR,05,ISMAILKHANGUDA,1512006
MEDCHAL-MALKAJGIRI,15_2,GHATKESAR,05,KACHWANISINGARAM,1512015
MEDCHAL-MALKAJGIRI,15_2,GHATKESAR,05,KONDAPUR,1512008
MEDCHAL-MALKAJGIRI,15_2,GHATKESAR,05,KORREMUL,1512018
MEDCHAL-MALKAJGIRI,15_2,GHATKESAR,05,MADHARAM,1512021
MEDCHAL-MALKAJGIRI,15_2,GHATKESAR,05,MAJARGUDA,1512013
MEDCHAL-MALKAJGIRI,15_2,GHATKESAR,05,MARRIPALLYGUDA,1512029
MEDCHAL-MALKAJGIRI,15_2,GHATKESAR,05,MUTHAWALLIGUDA,1512016
MEDCHAL-MALKAJGIRI,15_2,GHATKESAR,05,NAREPALLE,1512014
MEDCHAL-MALKAJGIRI,15_2,GHATKESAR,05,PADAMATISAIGUDA,1512007
MEDCHAL-MALKAJGIRI,15_2,GHATKESAR,05,POCHARAM,1512004
MEDCHAL-MALKAJGIRI,15_2,GHATKESAR,05,PRATHAPSINGARAM,1512017
MEDCHAL-MALKAJGIRI,15_2,GHATKESAR,05,YAMNAMPET,1512005
MEDCHAL-MALKAJGIRI,15_2,KAPRA,06,CHERLAPALLE,1512002
MEDCHAL-MALKAJGIRI,15_2,KAPRA,06,JAWAHARNAGAR,1509030
MEDCHAL-MALKAJGIRI,15_2,KAPRA,06,KHAPRA (M),1511012
MEDCHAL-MALKAJGIRI,15_2,KEESARA,07,AHMADGUDA,1511013
MEDCHAL-MALKAJGIRI,15_2,KEESARA,07,ANKIREDDYPALLY,1511018
MEDCHAL-MALKAJGIRI,15_2,KEESARA,07,BOGARAM,1511016
MEDCHAL-MALKAJGIRI,15_2,KEESARA,07,BOGARAM MAKTHA,1511020
MEDCHAL-MALKAJGIRI,15_2,KEESARA,07,CHEERIYAL,1511008
MEDCHAL-MALKAJGIRI,15_2,KEESARA,07,DAMMAIGUDA,1511019
MEDCHAL-MALKAJGIRI,15_2,KEESARA,07,DHARMAVARAM,1511002
MEDCHAL-MALKAJGIRI,15_2,KEESARA,07,GODMAKUNTA,1511014
MEDCHAL-MALKAJGIRI,15_2,KEESARA,07,HARIDASPALLE,1511007
MEDCHAL-MALKAJGIRI,15_2,KEESARA,07,KEESARA,1511005
MEDCHAL-MALKAJGIRI,15_2,KEESARA,07,KEESARA DAIRA,1511009
MEDCHAL-MALKAJGIRI,15_2,KEESARA,07,KUNDANPALLE,1511010
MEDCHAL-MALKAJGIRI,15_2,KEESARA,07,NAGARAM,1511011
MEDCHAL-MALKAJGIRI,15_2,KEESARA,07,NARSAMPALLE,1511003
MEDCHAL-MALKAJGIRI,15_2,KEESARA,07,RAMPALLE,1511015
MEDCHAL-MALKAJGIRI,15_2,KEESARA,07,RAMPALLY DAYARA,1511017
MEDCHAL-MALKAJGIRI,15_2,KEESARA,07,THIMMAIPALLE,1511001
MEDCHAL-MALKAJGIRI,15_2,KEESARA,07,YADGARPALLE (EAST),1511006
MEDCHAL-MALKAJGIRI,15_2,KEESARA,07,YADGARPALLE (WEST),1511004
MEDCHAL-MALKAJGIRI,15_2,KUKATPALLY,08,ALLAPUR,1506005
MEDCHAL-MALKAJGIRI,15_2,KUKATPALLY,08,BHAGAMEERI,1506003
MEDCHAL-MALKAJGIRI,15_2,KUKATPALLY,08,HYDERNAGAR,1506001
MEDCHAL-MALKAJGIRI,15_2,KUKATPALLY,08,KUKATPALLE (M),1506004
MEDCHAL-MALKAJGIRI,15_2,KUKATPALLY,08,MOOSAPET,1506007
MEDCHAL-MALKAJGIRI,15_2,KUKATPALLY,08,SHAMSHIGUDA,1506002
MEDCHAL-MALKAJGIRI,15_2,MALKAJGIRI,09,AMMUGUDA,1510011
MEDCHAL-MALKAJGIRI,15_2,MALKAJGIRI,09,MALKAJGIRI (M),1510012
MEDCHAL-MALKAJGIRI,15_2,MEDCHAL,10,AKBARJAPET,1508011
MEDCHAL-MALKAJGIRI,15_2,MEDCHAL,10,ATEVELLE,1508012
MEDCHAL-MALKAJGIRI,15_2,MEDCHAL,10,BANDA MADHARAM,1508014
MEDCHAL-MALKAJGIRI,15_2,MEDCHAL,10,BANDAKUNTA,1508016
MEDCHAL-MALKAJGIRI,15_2,MEDCHAL,10,DABIRPUR,1508013
MEDCHAL-MALKAJGIRI,15_2,MEDCHAL,10,GHANPUR,1508023
MEDCHAL-MALKAJGIRI,15_2,MEDCHAL,10,GIRMAPUR,1508018
MEDCHAL-MALKAJGIRI,15_2,MEDCHAL,10,GOSAIGUDA,1508024
MEDCHAL-MALKAJGIRI,15_2,MEDCHAL,10,GOUDAVELLE,1508019
MEDCHAL-MALKAJGIRI,15_2,MEDCHAL,10,KANDLAKOI,1508027
MEDCHAL-MALKAJGIRI,15_2,MEDCHAL,10,KAZIGUDA,1508029
MEDCHAL-MALKAJGIRI,15_2,MEDCHAL,10,KONAIPALLE,1508004
MEDCHAL-MALKAJGIRI,15_2,MEDCHAL,10,MAISIREDDIPALLE,1508003
MEDCHAL-MALKAJGIRI,15_2,MEDCHAL,10,MEDCHAL,1508020
