id,raw_data_id,sentiment_score,sentiment_label,confidence,processed_at
2228,2490,-0.09663312882184982,neutral,0.7247153520584106,2026-01-17 12:26:02.649021
2229,2491,-0.0007818415760993958,neutral,0.7736929059028625,2026-01-17 12:26:02.649021
2231,2493,-0.1716676875948906,neutral,0.6680399775505066,2026-01-17 12:26:02.649021
2232,2494,-0.28163430467247963,neutral,0.6050738096237183,2026-01-17 12:26:02.649021
2235,2497,-0.10894982144236565,neutral,0.7707578539848328,2026-01-17 12:26:02.649021
2237,2499,-0.11021123826503754,neutral,0.6342460513114929,2026-01-17 12:26:02.649021
2238,2500,0.08120141923427582,neutral,0.7237180471420288,2026-01-17 12:26:02.649021
2240,2502,-0.03486345708370209,neutral,0.7982195615768433,2026-01-17 12:26:02.649021
2243,2509,-0.36862538382411003,neutral,0.5468395948410034,2026-01-17 12:26:02.649021
2245,2511,0.9272531357128173,positive,0.9303526878356934,2026-01-17 12:26:02.649021
2247,2513,0.3340190779417753,neutral,0.6183221340179443,2026-01-17 12:26:02.649021
2252,2518,-0.343240924179554,neutral,0.5433260202407837,2026-01-17 12:26:02.649021
2253,2519,0.040913090109825134,neutral,0.7605176568031311,2026-01-17 12:26:02.649021
2256,2522,0.150690246373415,neutral,0.8038874268531799,2026-01-17 12:26:02.649021
2257,2523,0.13991165906190872,neutral,0.7915346026420593,2026-01-17 12:26:02.649021
2259,2525,-0.02703414112329483,neutral,0.7670738697052002,2026-01-17 12:26:02.649021
2260,2526,-0.11082915961742401,neutral,0.7519263029098511,2026-01-17 12:26:02.649021
2261,2527,0.06255050376057625,neutral,0.8149574398994446,2026-01-17 12:26:02.649021
2263,2529,-0.24066893011331558,neutral,0.6565916538238525,2026-01-17 12:26:02.649021
2264,2530,0.155007129535079,neutral,0.8098798990249634,2026-01-17 12:26:02.649021
2265,2531,0.016656652092933655,neutral,0.7390404939651489,2026-01-17 12:26:02.649021
2266,2532,-0.062134258449077606,neutral,0.7560898065567017,2026-01-17 12:26:02.649021
2273,2533,-0.17468558996915817,neutral,0.6454569101333618,2026-01-17 12:26:02.649021
2274,2534,0.018059350550174713,neutral,0.7779350280761719,2026-01-17 12:26:02.649021
2276,2536,-0.2207304835319519,neutral,0.6749690175056458,2026-01-17 12:26:02.649021
2277,2537,0.17907902598381042,neutral,0.6765722632408142,2026-01-17 12:26:02.649021
2278,2538,0.1348758153617382,neutral,0.7714102864265442,2026-01-17 12:26:02.649021
2297,2624,-0.05429605022072792,neutral,0.8500181436538696,2026-01-17 12:26:02.649021
2342,2675,-0.09394903108477592,neutral,0.8355966210365295,2026-01-17 12:26:02.649021
2366,2698,-0.204305749386549,neutral,0.7107716798782349,2026-01-17 12:26:02.649021
2461,2796,0.06957167014479637,neutral,0.8132600784301758,2026-01-17 12:26:02.649021
2514,2849,0.14541968703269958,neutral,0.7462668418884277,2026-01-17 12:26:02.649021
2515,2850,0.19452363438904285,neutral,0.7555056214332581,2026-01-17 12:26:02.649021
2516,2851,-0.4134671986103058,neutral,0.49706628918647766,2026-01-17 12:26:02.649021
2518,2853,0.07732011750340462,neutral,0.8121366500854492,2026-01-17 12:26:02.649021
2519,2854,-0.21678049862384796,neutral,0.6796436309814453,2026-01-17 12:26:02.649021
2525,2860,-0.09037882089614868,neutral,0.8399493098258972,2026-01-17 12:26:02.649021
2531,2866,0.07208797335624695,neutral,0.8131138682365417,2026-01-17 12:26:02.649021
2539,2870,-0.13262435793876648,neutral,0.6798049211502075,2026-01-17 12:26:02.649021
2540,2871,-0.27859628200531006,neutral,0.6476842164993286,2026-01-17 12:26:02.649021
2541,2872,-0.2537654973566532,neutral,0.631171464920044,2026-01-17 12:26:02.649021
2542,2873,-0.48542558401823044,negative,0.5281948447227478,2026-01-17 12:26:02.649021
2543,2874,-0.2633728161454201,neutral,0.5997582674026489,2026-01-17 12:26:02.649021
2544,2875,0.040913090109825134,neutral,0.7605176568031311,2026-01-17 12:26:02.649021
2545,2876,0.1427435204386711,neutral,0.7909358143806458,2026-01-17 12:26:02.649021
2602,2940,0.15190445259213448,neutral,0.77122563123703,2026-01-17 12:26:02.649021
2610,2942,0.10217740386724472,neutral,0.765182375907898,2026-01-17 12:26:02.649021
2611,2943,-0.19830372184515,neutral,0.596651554107666,2026-01-17 12:26:02.649021
2612,2944,0.34033307433128357,neutral,0.5374406576156616,2026-01-17 12:26:02.649021
2613,2945,0.18496929109096527,neutral,0.6646563410758972,2026-01-17 12:26:02.649021
2614,2946,-0.07733920961618423,neutral,0.7100901007652283,2026-01-17 12:26:02.649021
2615,2947,-0.02656175196170807,neutral,0.7040841579437256,2026-01-17 12:26:02.649021
