id,name,city,region,geom,created_at,boundary,school_count,hospital_count
235,Varthur,Bangalore,West Hyderabad,POINT(77.746988 12.9406508),2026-02-13 12:14:24.138873,"POLYGON((77.76570479020994 12.941633407762641,77.76531204519931 12.938112987184333,77.76422666784616 12.934735354652622,77.7624903892676 12.93163029766509,77.7601699443965 12.92891712664255,77.75735450577393 12.926700092207648,77.75415225683773 12.925064381174487,77.75068623636902 12.924072844775031,77.74708961350579 12.923763584566396,77.74350057439602 12.924148488604319,77.74005701634616 12.92521277407849,77.73689125267454 12.92691555406494,77.73412493112767 12.929191406818937,77.73186436066561 12.931952887599202,77.73019642595587 12.935093886842537,77.7291852465949 12.938493705980672,77.72886970971945 12.942021694558338,77.72926197132871 12.945542270642887,77.73034698455697 12.948920131658664,77.73208307372182 12.952025455323474,77.73440353272696 12.954738890617305,77.73721918687951 12.956956146684613,77.74042181992922 12.958592002969748,77.74388833461713 12.959583586127456,77.74748548656484 12.959892787482088,77.75107500907608 12.959507727937902,77.75451893125084 12.95844321397962,77.75768488433609 12.956740167315873,77.76045119174884 12.954464050290584,77.76271154668085 12.951702347877943,77.76437909727706 12.948561203382665,77.76538978241891 12.945161337486304,77.76570479020994 12.941633407762641))",0,0
240,Yelahanka,Bangalore,West Hyderabad,POINT(77.5963454 13.1006982),2026-02-13 12:14:24.138873,"POLYGON((77.60596986378086 13.05900575446394,77.6055788053297 13.055484716720681,77.60449462358268 13.052106120592676,77.60275900417247 13.048999790825807,77.6004386571817 13.046285086832603,77.59762275181723 13.044066318075922,77.5944194897617 13.042428737808294,77.5909519488722 13.041435268777114,77.58735335667038 13.041124086432111,77.58376197475889 13.041507152316566,77.58031579010456 13.042569753936283,77.57714721650278 13.044271068858892,77.57437800920287 13.046545731561627,77.57211458763534 13.049306343107043,77.57044394572556 13.052446827546683,77.56943030696355 13.05584650641408,77.5691126530445 13.059374735021928,77.56950322155019 13.062895922592565,77.57058703105226 13.066274743374514,77.57232245258893 13.069381338420358,77.57464280620206 13.072096307931277,77.57745892167661 13.07431530202173,77.58066256534258 13.075953033134171,77.58413060124619 13.076946555556432,77.58772972650432 13.077257685710473,77.59132159836136 13.07687446999861,77.59476815526065 13.075811643724926,77.59793692673588 13.074110063523303,77.60070612741336 13.071835135302857,77.60296933887075 13.06907429842369,77.60463959917006 13.065933663139278,77.60565274291804 13.062533930880825,77.60596986378086 13.05900575446394))",0,0
57,Begur,Bangalore,West Hyderabad,POINT(77.6130112 12.8633887),2026-02-13 12:14:23.107527,,0,0
58,Bellandur,Bangalore,West Hyderabad,POINT(77.6720227 12.9371445),2026-02-13 12:14:23.107527,,0,0
74,Choodasandra,Bangalore,West Hyderabad,POINT(77.6799727 12.8883623),2026-02-13 12:14:23.231167,,0,0
93,Gunjur,Bangalore,West Hyderabad,POINT(77.7361016 12.9209772),2026-02-13 12:14:23.307323,,0,0
100,Hebbal,Bangalore,West Hyderabad,POINT(77.5919 13.0382184),2026-02-13 12:14:23.373264,,0,0
130,Kodathi,Bangalore,West Hyderabad,POINT(77.7133427 12.8905129),2026-02-13 12:14:23.555039,,0,0
131,Kogilu,Bangalore,West Hyderabad,POINT(77.6173956 13.1067228),2026-02-13 12:14:23.555039,,0,0
136,Koramangala,Bangalore,West Hyderabad,POINT(77.624081 12.9357366),2026-02-13 12:14:23.618653,,0,0
